PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Texas,2023,37,X,3.15272,X,X,X,X,X,X,1610,47,51067
States,Alabama,2023,38,X,2.2965,X,X,X,X,X,X,1023,106,44546
States,Arizona,2023,38,X,0.713678,X,X,X,X,X,X,218,33,30546
States,California,2023,38,X,2.44069,X,X,X,X,X,X,6499,197,266277
States,Florida,2023,38,X,3.25197,X,X,X,X,X,X,8092,359,248834
States,Louisiana,2023,38,X,1.79676,X,X,X,X,X,X,799,87,44469
States,Mississippi,2023,38,X,2.95896,X,X,X,X,X,X,279,23,9429
States,New Mexico,2023,38,X,2.98044,X,X,X,X,X,X,643,37,21574
States,Texas,2023,38,X,2.32654,X,X,X,X,X,X,1127,45,48441
States,Alabama,2023,39,X,2.27381,X,X,X,X,X,X,1006,105,44243
States,Arizona,2023,39,X,0.586316,X,X,X,X,X,X,239,33,40763
States,California,2023,39,X,2.48396,X,X,X,X,X,X,6530,196,262887
States,Florida,2023,39,X,3.45568,X,X,X,X,X,X,8594,358,248692
States,Louisiana,2023,39,X,1.68992,X,X,X,X,X,X,745,87,44085
States,Mississippi,2023,39,X,2.57255,X,X,X,X,X,X,250,24,9718
States,New Mexico,2023,39,X,3.02145,X,X,X,X,X,X,662,39,21910
States,Texas,2023,39,X,2.69713,X,X,X,X,X,X,1426,46,52871
