"National Healthcare Safety Network (NHSN) Hospitalization Surveillance (downloaded on "Nov-14-2024)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202351,2023-24,Average patients with influenza in ICU,5,HHS Region,138.29
202351,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1114.29
202351,2023-24,Influenza Hospital Admissions,6,HHS Region,2015
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,4.72
202351,2023-24,Average patients with influenza in ICU,6,HHS Region,200.43
202351,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,221.57
202351,2023-24,Influenza Hospital Admissions,7,HHS Region,454
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,3.21
202351,2023-24,Average patients with influenza in ICU,7,HHS Region,31.14
202351,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,239.43
202351,2023-24,Influenza Hospital Admissions,8,HHS Region,461
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,3.76
202351,2023-24,Average patients with influenza in ICU,8,HHS Region,27
202351,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1571.14
202351,2023-24,Influenza Hospital Admissions,9,HHS Region,2706
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,5.28
202351,2023-24,Average patients with influenza in ICU,9,HHS Region,206
202351,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,220.43
202351,2023-24,Influenza Hospital Admissions,10,HHS Region,377
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,2.63
202351,2023-24,Average patients with influenza in ICU,10,HHS Region,23.14
202352,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,476.71
202352,2023-24,Influenza Hospital Admissions,1,HHS Region,816
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,5.5
202352,2023-24,Average patients with influenza in ICU,1,HHS Region,54.29
202352,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,1328.14
202352,2023-24,Influenza Hospital Admissions,2,HHS Region,2098
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,6.65
202352,2023-24,Average patients with influenza in ICU,2,HHS Region,185.43
202352,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,1275.14
202352,2023-24,Influenza Hospital Admissions,3,HHS Region,2226
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,7.21
202352,2023-24,Average patients with influenza in ICU,3,HHS Region,187.14
202352,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,3882.86
202352,2023-24,Influenza Hospital Admissions,4,HHS Region,5514
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,8.24
202352,2023-24,Average patients with influenza in ICU,4,HHS Region,695
202352,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1619.43
202352,2023-24,Influenza Hospital Admissions,5,HHS Region,2636
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,5.02
202352,2023-24,Average patients with influenza in ICU,5,HHS Region,230.71
202352,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1452
202352,2023-24,Influenza Hospital Admissions,6,HHS Region,2442
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,5.72
202352,2023-24,Average patients with influenza in ICU,6,HHS Region,253.29
202352,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,317.43
202352,2023-24,Influenza Hospital Admissions,7,HHS Region,606
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,4.29
202352,2023-24,Average patients with influenza in ICU,7,HHS Region,50
202352,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,345.86
202352,2023-24,Influenza Hospital Admissions,8,HHS Region,697
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,5.69
202352,2023-24,Average patients with influenza in ICU,8,HHS Region,44.71
202352,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1989.71
202352,2023-24,Influenza Hospital Admissions,9,HHS Region,2978
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,5.81
202352,2023-24,Average patients with influenza in ICU,9,HHS Region,284.57
202352,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,289.71
202352,2023-24,Influenza Hospital Admissions,10,HHS Region,521
202352,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,3.63
202352,2023-24,Average patients with influenza in ICU,10,HHS Region,29.57
202401,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,677
202401,2023-24,Influenza Hospital Admissions,1,HHS Region,920
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,6.2
202416,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.72
202416,2023-24,Average patients with influenza in ICU,4,HHS Region,161.57
202416,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,674
202416,2023-24,Influenza Hospital Admissions,5,HHS Region,559
202416,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,1.06
202416,2023-24,Average patients with influenza in ICU,5,HHS Region,81.57
202416,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,268.14
202416,2023-24,Influenza Hospital Admissions,6,HHS Region,290
202416,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.68
202416,2023-24,Average patients with influenza in ICU,6,HHS Region,35.43
202416,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,171
202416,2023-24,Influenza Hospital Admissions,7,HHS Region,192
202416,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,1.36
202416,2023-24,Average patients with influenza in ICU,7,HHS Region,20.71
202416,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,61.57
202416,2023-24,Influenza Hospital Admissions,8,HHS Region,74
202416,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.6
202416,2023-24,Average patients with influenza in ICU,8,HHS Region,4
202416,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,205.86
202416,2023-24,Influenza Hospital Admissions,9,HHS Region,269
202416,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.52
202416,2023-24,Average patients with influenza in ICU,9,HHS Region,26
202416,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,63.14
202416,2023-24,Influenza Hospital Admissions,10,HHS Region,74
202416,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.52
202416,2023-24,Average patients with influenza in ICU,10,HHS Region,7.29
202417,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,174.86
202417,2023-24,Influenza Hospital Admissions,1,HHS Region,160
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,1.08
202417,2023-24,Average patients with influenza in ICU,1,HHS Region,27.14
202417,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,241.57
202417,2023-24,Influenza Hospital Admissions,2,HHS Region,296
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.94
202417,2023-24,Average patients with influenza in ICU,2,HHS Region,42.57
202417,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,220
202417,2023-24,Influenza Hospital Admissions,3,HHS Region,226
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.73
202417,2023-24,Average patients with influenza in ICU,3,HHS Region,35.71
202417,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,456
202417,2023-24,Influenza Hospital Admissions,4,HHS Region,447
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.67
202417,2023-24,Average patients with influenza in ICU,4,HHS Region,105.57
202417,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,491.14
202417,2023-24,Influenza Hospital Admissions,5,HHS Region,391
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.74
202417,2023-24,Average patients with influenza in ICU,5,HHS Region,58.57
202417,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,243.57
202417,2023-24,Influenza Hospital Admissions,6,HHS Region,251
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.59
202417,2023-24,Average patients with influenza in ICU,6,HHS Region,40
202417,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,114.57
202417,2023-24,Influenza Hospital Admissions,7,HHS Region,124
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.88
202417,2023-24,Average patients with influenza in ICU,7,HHS Region,16.29
202417,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,43.14
202417,2023-24,Influenza Hospital Admissions,8,HHS Region,57
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.46
202417,2023-24,Average patients with influenza in ICU,8,HHS Region,2.71
202417,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,188.43
202417,2023-24,Influenza Hospital Admissions,9,HHS Region,292
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.57
202417,2023-24,Average patients with influenza in ICU,9,HHS Region,29.71
202417,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,59.14
202417,2023-24,Influenza Hospital Admissions,10,HHS Region,85
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.59
202417,2023-24,Average patients with influenza in ICU,10,HHS Region,9
202418,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,127.57
202418,2023-24,Influenza Hospital Admissions,1,HHS Region,111
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.75
202418,2023-24,Average patients with influenza in ICU,1,HHS Region,16.29
202418,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,187.71
202418,2023-24,Influenza Hospital Admissions,2,HHS Region,240
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.76
202418,2023-24,Average patients with influenza in ICU,2,HHS Region,25.43
202418,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,165.43
202418,2023-24,Influenza Hospital Admissions,3,HHS Region,179
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.58
202418,2023-24,Average patients with influenza in ICU,3,HHS Region,30.43
202418,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,251.14
202418,2023-24,Influenza Hospital Admissions,4,HHS Region,255
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.38
202418,2023-24,Average patients with influenza in ICU,4,HHS Region,34.14
202418,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,323.14
202418,2023-24,Influenza Hospital Admissions,5,HHS Region,237
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.45
202418,2023-24,Average patients with influenza in ICU,5,HHS Region,28.86
202418,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,114.57
202418,2023-24,Influenza Hospital Admissions,6,HHS Region,131
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.31
202418,2023-24,Average patients with influenza in ICU,6,HHS Region,16.86
202418,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,58.86
202418,2023-24,Influenza Hospital Admissions,7,HHS Region,56
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.4
202418,2023-24,Average patients with influenza in ICU,7,HHS Region,7.43
202418,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,24.14
202418,2023-24,Influenza Hospital Admissions,8,HHS Region,40
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.33
202418,2023-24,Average patients with influenza in ICU,8,HHS Region,0.86
202418,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,123
202418,2023-24,Influenza Hospital Admissions,9,HHS Region,166
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.32
202418,2023-24,Average patients with influenza in ICU,9,HHS Region,14
202418,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,45.43
202418,2023-24,Influenza Hospital Admissions,10,HHS Region,46
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.32
202418,2023-24,Average patients with influenza in ICU,10,HHS Region,5.29
202419,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,98.29
202419,2023-24,Influenza Hospital Admissions,1,HHS Region,82
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.55
202419,2023-24,Average patients with influenza in ICU,1,HHS Region,15
202419,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,107
202419,2023-24,Influenza Hospital Admissions,2,HHS Region,122
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.39
202419,2023-24,Average patients with influenza in ICU,2,HHS Region,10.71
202419,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,124.14
202419,2023-24,Influenza Hospital Admissions,3,HHS Region,134
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.43
202419,2023-24,Average patients with influenza in ICU,3,HHS Region,28.43
202419,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,146.14
202419,2023-24,Influenza Hospital Admissions,4,HHS Region,146
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.22
202437,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,2.29
202437,2023-24,Influenza Hospital Admissions,8,HHS Region,3
202437,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.02
202437,2023-24,Average patients with influenza in ICU,8,HHS Region,0.86
202437,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,32.29
202437,2023-24,Influenza Hospital Admissions,9,HHS Region,42
202437,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.08
202437,2023-24,Average patients with influenza in ICU,9,HHS Region,2.71
202437,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,5.43
202437,2023-24,Influenza Hospital Admissions,10,HHS Region,7
202437,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.05
202437,2023-24,Average patients with influenza in ICU,10,HHS Region,0
202438,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,6.71
202438,2023-24,Influenza Hospital Admissions,1,HHS Region,1
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.01
202438,2023-24,Average patients with influenza in ICU,1,HHS Region,0.86
202438,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,14.86
202438,2023-24,Influenza Hospital Admissions,2,HHS Region,24
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.08
202438,2023-24,Average patients with influenza in ICU,2,HHS Region,1.71
202438,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,31
202438,2023-24,Influenza Hospital Admissions,3,HHS Region,65
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.21
202438,2023-24,Average patients with influenza in ICU,3,HHS Region,5.71
202438,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,40
202438,2023-24,Influenza Hospital Admissions,4,HHS Region,50
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.07
202438,2023-24,Average patients with influenza in ICU,4,HHS Region,4.57
202438,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,9.43
202438,2023-24,Influenza Hospital Admissions,5,HHS Region,18
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.03
202438,2023-24,Average patients with influenza in ICU,5,HHS Region,2.57
202438,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,4.57
202438,2023-24,Influenza Hospital Admissions,6,HHS Region,7
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.02
202438,2023-24,Average patients with influenza in ICU,6,HHS Region,0.43
202438,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,1.14
202438,2023-24,Influenza Hospital Admissions,7,HHS Region,2
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.01
202438,2023-24,Average patients with influenza in ICU,7,HHS Region,0.14
202438,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,1.29
202438,2023-24,Influenza Hospital Admissions,8,HHS Region,2
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.02
202438,2023-24,Average patients with influenza in ICU,8,HHS Region,0.29
202438,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,14.57
202438,2023-24,Influenza Hospital Admissions,9,HHS Region,18
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.04
202438,2023-24,Average patients with influenza in ICU,9,HHS Region,1.14
202438,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,4.14
202438,2023-24,Influenza Hospital Admissions,10,HHS Region,5
202438,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.03
202438,2023-24,Average patients with influenza in ICU,10,HHS Region,0.57
202401,2023-24,Average patients with influenza in ICU,1,HHS Region,88
202419,2023-24,Average patients with influenza in ICU,4,HHS Region,14.86
202401,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,1527.86
202401,2023-24,Influenza Hospital Admissions,2,HHS Region,1956
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,6.2
202401,2023-24,Average patients with influenza in ICU,2,HHS Region,223
202401,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,1531.86
202401,2023-24,Influenza Hospital Admissions,3,HHS Region,1863
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,6.04
202401,2023-24,Average patients with influenza in ICU,3,HHS Region,230.71
202401,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,4169.43
202401,2023-24,Influenza Hospital Admissions,4,HHS Region,4752
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,7.1
202401,2023-24,Average patients with influenza in ICU,4,HHS Region,758.57
202401,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1906.29
202401,2023-24,Influenza Hospital Admissions,5,HHS Region,2387
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,4.54
202401,2023-24,Average patients with influenza in ICU,5,HHS Region,282.29
202401,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1739.86
202401,2023-24,Influenza Hospital Admissions,6,HHS Region,2508
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,5.87
202401,2023-24,Average patients with influenza in ICU,6,HHS Region,279.57
202401,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,381.86
202401,2023-24,Influenza Hospital Admissions,7,HHS Region,574
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,4.06
202401,2023-24,Average patients with influenza in ICU,7,HHS Region,65.86
202401,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,412.14
202401,2023-24,Influenza Hospital Admissions,8,HHS Region,666
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,5.43
202401,2023-24,Average patients with influenza in ICU,8,HHS Region,57.14
202401,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1955.29
202401,2023-24,Influenza Hospital Admissions,9,HHS Region,2439
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,4.76
202401,2023-24,Average patients with influenza in ICU,9,HHS Region,304.57
202401,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,346.29
202401,2023-24,Influenza Hospital Admissions,10,HHS Region,512
202401,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,3.57
202401,2023-24,Average patients with influenza in ICU,10,HHS Region,44
202402,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,596
202402,2023-24,Influenza Hospital Admissions,1,HHS Region,804
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,5.42
202402,2023-24,Average patients with influenza in ICU,1,HHS Region,90.14
202402,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,1379.14
202402,2023-24,Influenza Hospital Admissions,2,HHS Region,1638
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,5.19
202402,2023-24,Average patients with influenza in ICU,2,HHS Region,190
202402,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,1302.57
202402,2023-24,Influenza Hospital Admissions,3,HHS Region,1396
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,4.52
202402,2023-24,Average patients with influenza in ICU,3,HHS Region,183
202402,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,3626.71
202402,2023-24,Influenza Hospital Admissions,4,HHS Region,3537
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,5.29
202402,2023-24,Average patients with influenza in ICU,4,HHS Region,679.14
202402,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1600.29
202402,2023-24,Influenza Hospital Admissions,5,HHS Region,2098
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,3.99
202402,2023-24,Average patients with influenza in ICU,5,HHS Region,239.86
202402,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1554.29
202402,2023-24,Influenza Hospital Admissions,6,HHS Region,2203
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,5.16
202402,2023-24,Average patients with influenza in ICU,6,HHS Region,259
202402,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,397.71
202402,2023-24,Influenza Hospital Admissions,7,HHS Region,544
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,3.85
202402,2023-24,Average patients with influenza in ICU,7,HHS Region,77
202402,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,354.86
202402,2023-24,Influenza Hospital Admissions,8,HHS Region,560
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,4.57
202402,2023-24,Average patients with influenza in ICU,8,HHS Region,48.86
202402,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1551.86
202402,2023-24,Influenza Hospital Admissions,9,HHS Region,1877
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,3.66
202402,2023-24,Average patients with influenza in ICU,9,HHS Region,258
202402,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,299.57
202402,2023-24,Influenza Hospital Admissions,10,HHS Region,381
202402,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,2.65
202402,2023-24,Average patients with influenza in ICU,10,HHS Region,38.57
202403,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,542.86
202403,2023-24,Influenza Hospital Admissions,1,HHS Region,644
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,4.34
202403,2023-24,Average patients with influenza in ICU,1,HHS Region,69.86
202403,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,1208.57
202403,2023-24,Influenza Hospital Admissions,2,HHS Region,1344
