Unnamed: 0,STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
605,Alabama,http://adph.org/influenza/,Influenza Surveillance,4,Low,2024-03-23,12,2023-24
609,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-03-23,12,2023-24
614,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,4,Low,2024-03-23,12,2023-24
623,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,5,Low,2024-03-23,12,2023-24
633,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,2024-03-23,12,2023-24
636,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,10,High,2024-03-23,12,2023-24
648,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,2,Minimal,2024-03-23,12,2023-24
660,Alabama,http://adph.org/influenza/,Influenza Surveillance,3,Minimal,2024-03-30,13,2023-24
664,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-03-30,13,2023-24
669,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,3,Minimal,2024-03-30,13,2023-24
678,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,4,Low,2024-03-30,13,2023-24
688,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,2024-03-30,13,2023-24
691,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,9,High,2024-03-30,13,2023-24
703,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,2,Minimal,2024-03-30,13,2023-24
715,Alabama,http://adph.org/influenza/,Influenza Surveillance,3,Minimal,2024-04-06,14,2023-24
719,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-04-06,14,2023-24
724,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-06,14,2023-24
733,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,3,Minimal,2024-04-06,14,2023-24
743,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-06,14,2023-24
746,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,7,Moderate,2024-04-06,14,2023-24
758,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-06,14,2023-24
770,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-13,15,2023-24
774,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-04-13,15,2023-24
779,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-13,15,2023-24
788,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,2,Minimal,2024-04-13,15,2023-24
798,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-13,15,2023-24
801,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,7,Moderate,2024-04-13,15,2023-24
813,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-13,15,2023-24
825,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-20,16,2023-24
829,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),4,Low,2024-04-20,16,2023-24
834,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-20,16,2023-24
843,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,1,Minimal,2024-04-20,16,2023-24
853,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,2024-04-20,16,2023-24
856,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,5,Low,2024-04-20,16,2023-24
868,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-20,16,2023-24
880,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-27,17,2023-24
884,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),4,Low,2024-04-27,17,2023-24
889,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-27,17,2023-24
898,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,1,Minimal,2024-04-27,17,2023-24
908,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-27,17,2023-24
911,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,4,Low,2024-04-27,17,2023-24
923,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-27,17,2023-24
