,Unnamed: 0,STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
91,715,Alabama,http://adph.org/influenza/,Influenza Surveillance,3,Minimal,2024-04-06,14,2023-24
92,719,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-04-06,14,2023-24
93,724,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-06,14,2023-24
94,733,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,3,Minimal,2024-04-06,14,2023-24
95,743,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-06,14,2023-24
96,746,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,7,Moderate,2024-04-06,14,2023-24
97,758,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-06,14,2023-24
98,770,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-13,15,2023-24
99,774,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Low,2024-04-13,15,2023-24
100,779,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-13,15,2023-24
101,788,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,2,Minimal,2024-04-13,15,2023-24
102,798,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-13,15,2023-24
103,801,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,7,Moderate,2024-04-13,15,2023-24
104,813,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-13,15,2023-24
105,825,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-20,16,2023-24
106,829,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),4,Low,2024-04-20,16,2023-24
107,834,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-20,16,2023-24
108,843,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,1,Minimal,2024-04-20,16,2023-24
109,853,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,2024-04-20,16,2023-24
110,856,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,5,Low,2024-04-20,16,2023-24
111,868,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-20,16,2023-24
112,880,Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Minimal,2024-04-27,17,2023-24
113,884,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),4,Low,2024-04-27,17,2023-24
114,889,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Minimal,2024-04-27,17,2023-24
115,898,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,1,Minimal,2024-04-27,17,2023-24
116,908,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-04-27,17,2023-24
117,911,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,4,Low,2024-04-27,17,2023-24
118,923,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Minimal,2024-04-27,17,2023-24
